dataset,folder,source,organism,sample_type,image_file,label_file,image_path,label_path,dimensions,spacing
4yv2h5us12g9p22d3a5g_1,Kedar_4yv2h,Kedar_4yv2h,4yv2h5us12g9p22d3a5g,1,4yv2h5US12G9P22d3A5g_1_im.h5,4yv2h5US12G9P22d3A5g_1_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_1_im.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_1_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
4yv2h5us12g9p22d3a5g_2,Kedar_4yv2h,Kedar_4yv2h,4yv2h5us12g9p22d3a5g,2,4yv2h5US12G9P22d3A5g_2_im.h5,4yv2h5US12G9P22d3A5g_2_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_2_im.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_2_mito.h5,"[119, 1024, 1024]","[16.0, 16.0, 16.0]"
4yv2h5us12g9p22d3a5g_0,Kedar_4yv2h,Kedar_4yv2h,4yv2h5us12g9p22d3a5g,0,4yv2h5US12G9P22d3A5g_0_im.h5,4yv2h5US12G9P22d3A5g_0_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_0_im.h5,/projects/weilab/dataset/MitoLE/Kedar_4yv2h/4yv2h5US12G9P22d3A5g_0_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_1,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_1_im.h5,kedar_f536_1_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_1_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_1_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_0,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_0_im.h5,kedar_f536_0_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_0_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_0_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_2,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_2_im.h5,kedar_f536_2_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_2_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_2_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_test0,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_test0_im.h5,kedar_f536_test0_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_test0_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_test0_mito.h5,"[512, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_test1,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_test1_im.h5,kedar_f536_test1_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_test1_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_test1_mito.h5,"[512, 1024, 1024]","[16.0, 16.0, 16.0]"
kedar_f536_3,Kedar_f536,Kedar_f536,kedar,f536,kedar_f536_3_im.h5,kedar_f536_3_mito.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_3_im.h5,/projects/weilab/dataset/MitoLE/Kedar_f536/kedar_f536_3_mito.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
kasthuri++_train,casser20,casser20,kasthuri,train,kasthuri++_train_im.h5,kasthuri++_train_mito.h5,/projects/weilab/dataset/MitoLE/casser20/kasthuri++_train_im.h5,/projects/weilab/dataset/MitoLE/casser20/kasthuri++_train_mito.h5,"[85, 806, 732]","[30.0, 12.0, 12.0]"
kasthuri++_test,casser20,casser20,kasthuri,test,kasthuri++_test_im.h5,kasthuri++_test_mito.h5,/projects/weilab/dataset/MitoLE/casser20/kasthuri++_test_im.h5,/projects/weilab/dataset/MitoLE/casser20/kasthuri++_test_mito.h5,"[75, 776, 667]","[30.0, 12.0, 12.0]"
jrc_zf-cardiac-1_recon-1_test1,cellmap24_cardiac,cellmap24_cardiac,jrc,cardiac,jrc_zf-cardiac-1_recon-1_test1_im.h5,jrc_zf-cardiac-1_recon-1_test1_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_test1_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_test1_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_zf-cardiac-1_recon-1_test0,cellmap24_cardiac,cellmap24_cardiac,jrc,cardiac,jrc_zf-cardiac-1_recon-1_test0_im.h5,jrc_zf-cardiac-1_recon-1_test0_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_test0_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_test0_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_zf-cardiac-1_recon-1_crop381,cellmap24_cardiac,cellmap24_cardiac,jrc,cardiac,jrc_zf-cardiac-1_recon-1_crop381_im.h5,jrc_zf-cardiac-1_recon-1_crop381_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_crop381_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_crop381_mito.h5,"[1000, 400, 400]","[8.0, 8.0, 8.0]"
jrc_zf-cardiac-1_recon-1_crop380,cellmap24_cardiac,cellmap24_cardiac,jrc,cardiac,jrc_zf-cardiac-1_recon-1_crop380_im.h5,jrc_zf-cardiac-1_recon-1_crop380_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_crop380_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_cardiac/jrc_zf-cardiac-1_recon-1_crop380_mito.h5,"[1000, 400, 400]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop182,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop182_im.h5,jrc_jurkat-1_recon-1_crop182_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop182_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop182_mito.h5,"[86, 100, 100]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop180,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop180_im.h5,jrc_jurkat-1_recon-1_crop180_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop180_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop180_mito.h5,"[86, 100, 100]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop37,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop37_im.h5,jrc_jurkat-1_recon-1_crop37_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop37_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop37_mito.h5,"[86, 100, 100]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop43,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop43_im.h5,jrc_jurkat-1_recon-1_crop43_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop43_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop43_mito.h5,"[111, 128, 128]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop38,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop38_im.h5,jrc_jurkat-1_recon-1_crop38_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop38_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop38_mito.h5,"[86, 100, 100]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop126,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop126_im.h5,jrc_jurkat-1_recon-1_crop126_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop126_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop126_mito.h5,"[86, 100, 100]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_test0,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_test0_im.h5,jrc_jurkat-1_recon-1_test0_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_test0_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_test0_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_test1,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_test1_im.h5,jrc_jurkat-1_recon-1_test1_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_test1_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_test1_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_jurkat-1_recon-1_crop112,cellmap24_jurkat,cellmap24_jurkat,human,jurkat,jrc_jurkat-1_recon-1_crop112_im.h5,jrc_jurkat-1_recon-1_crop112_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop112_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_jurkat/jrc_jurkat-1_recon-1_crop112_mito.h5,"[216, 125, 250]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop230,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop230_im.h5,jrc_mus-kidney_recon-1_crop230_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop230_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop230_mito.h5,"[400, 400, 400]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop184,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop184_im.h5,jrc_mus-kidney_recon-1_crop184_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop184_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop184_mito.h5,"[400, 300, 300]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_test0,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_test0_im.h5,jrc_mus-kidney_recon-1_test0_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_test0_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_test0_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop229,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop229_im.h5,jrc_mus-kidney_recon-1_crop229_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop229_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop229_mito.h5,"[150, 250, 350]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_test1,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_test1_im.h5,jrc_mus-kidney_recon-1_test1_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_test1_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_test1_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop156,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop156_im.h5,jrc_mus-kidney_recon-1_crop156_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop156_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop156_mito.h5,"[150, 150, 150]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop231,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop231_im.h5,jrc_mus-kidney_recon-1_crop231_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop231_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop231_mito.h5,"[400, 400, 400]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop221,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop221_im.h5,jrc_mus-kidney_recon-1_crop221_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop221_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop221_mito.h5,"[300, 300, 300]","[8.0, 8.0, 8.0]"
jrc_mus-kidney_recon-1_crop129,cellmap24_kidney,cellmap24_kidney,jrc,kidney,jrc_mus-kidney_recon-1_crop129_im.h5,jrc_mus-kidney_recon-1_crop129_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop129_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_kidney/jrc_mus-kidney_recon-1_crop129_mito.h5,"[150, 150, 150]","[8.0, 8.0, 8.0]"
jrc_mus-liver_recon-1_test0,cellmap24_liver,cellmap24_liver,jrc,liver,jrc_mus-liver_recon-1_test0_im.h5,jrc_mus-liver_recon-1_test0_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver_recon-1_test0_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver_recon-1_test0_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_mus-liver-zon-2_recon-1_crop355,cellmap24_liver,cellmap24_liver,jrc,liver,jrc_mus-liver-zon-2_recon-1_crop355_im.h5,jrc_mus-liver-zon-2_recon-1_crop355_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-2_recon-1_crop355_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-2_recon-1_crop355_mito.h5,"[400, 400, 400]","[8.0, 8.0, 8.0]"
jrc_mus-liver-zon-2_recon-1_crop356,cellmap24_liver,cellmap24_liver,jrc,liver,jrc_mus-liver-zon-2_recon-1_crop356_im.h5,jrc_mus-liver-zon-2_recon-1_crop356_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-2_recon-1_crop356_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-2_recon-1_crop356_mito.h5,"[400, 400, 400]","[8.0, 8.0, 8.0]"
jrc_mus-liver-zon-1_recon-1_crop345,cellmap24_liver,cellmap24_liver,jrc,liver,jrc_mus-liver-zon-1_recon-1_crop345_im.h5,jrc_mus-liver-zon-1_recon-1_crop345_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-1_recon-1_crop345_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver-zon-1_recon-1_crop345_mito.h5,"[400, 400, 400]","[8.0, 8.0, 8.0]"
jrc_mus-liver_recon-1_test1,cellmap24_liver,cellmap24_liver,jrc,liver,jrc_mus-liver_recon-1_test1_im.h5,jrc_mus-liver_recon-1_test1_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver_recon-1_test1_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_liver/jrc_mus-liver_recon-1_test1_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_crop110,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_crop110_im.h5,jrc_macrophage-2_recon-1_crop110_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop110_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop110_mito.h5,"[210, 125, 251]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_test0,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_test0_im.h5,jrc_macrophage-2_recon-1_test0_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_test0_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_test0_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_test1,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_test1_im.h5,jrc_macrophage-2_recon-1_test1_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_test1_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_test1_mito.h5,"[256, 1024, 1024]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_crop39,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_crop39_im.h5,jrc_macrophage-2_recon-1_crop39_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop39_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop39_mito.h5,"[84, 100, 100]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_crop48,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_crop48_im.h5,jrc_macrophage-2_recon-1_crop48_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop48_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop48_mito.h5,"[108, 128, 128]","[8.0, 8.0, 8.0]"
jrc_macrophage-2_recon-1_crop32,cellmap24_macrophage,cellmap24_macrophage,human,macrophage,jrc_macrophage-2_recon-1_crop32_im.h5,jrc_macrophage-2_recon-1_crop32_mito.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop32_im.h5,/projects/weilab/dataset/MitoLE/cellmap24_macrophage/jrc_macrophage-2_recon-1_crop32_mito.h5,"[84, 100, 100]","[8.0, 8.0, 8.0]"
